customer_id,customer_name,plan_tier
1,Bluepeak Retail,Free
2,Suncrest Foods,Free
3,Ironvale Logistics,Pro
4,Coral Bay Media,Free
5,Northgate Analytics,Free
6,Fernwood Studios,Free
7,Redline Motors,Free
8,Vantage Health Group,Enterprise
9,Cascade Robotics,Free
10,Amberlight Finance,Enterprise
11,Driftwood Hospitality,Pro
12,Solace Wellness,Free
13,Granite Peak Insurance,Free
14,Willowmere Education,Free
15,Harborlight Shipping,Free
16,Cobalt Systems,Free
17,Pinehollow Realty,Enterprise
18,Silverline Telecom,Enterprise
19,Orchard Grove Retail,Free
20,Meridian Data Co,Enterprise
